,city,city_latitude,city_longitude
49,Atlanta,33.7489924,-84.3902644
50,San Antonio,29.4246002,-98.4951405
51,Cleveland,41.4996574,-81.6936772
52,Chicago,41.8755616,-87.6244212
53,Lakewood,39.7085736,-105.0846694
54,Waco,31.549333,-97.1466695
55,Seattle,47.6038321,-122.330062
56,PORT CHARLOTTE,26.982419999999998,-82.10688734598534
57,Saint Johns,29.9032284,-81.4145468
58,Kissimmee,28.2918995,-81.4075838
59,Boston,42.3554334,-71.060511
60,Spokane,47.6571934,-117.42351
61,The Woodlands,30.1734194,-95.504686
62,Port Saint Lucie,27.2939333,-80.3503283
63,Panama City Beach,30.1765914,-85.805386
64,Kew Gardens,51.478197449999996,-0.2968860852596966
65,Port Charlotte,26.982419999999998,-82.10688734598534
66,Bloomington,39.1670396,-86.5342881
67,ORLANDO,28.5421109,-81.3790304
68,Burien,47.469918,-122.3485274
69,Mint Hill,35.1735388,-80.6570377
70,Lauderdale Lakes,26.16715525,-80.20493869767097
71,Lauderhill,26.1403635,-80.2133808
72,Columbus,39.9622601,-83.0007065
73,Valley View,33.4881671,-97.1650129
74,Lakeway,30.3644888,-97.9875325
75,Coral Gables,25.72149,-80.2683838
76,Westlake,32.991226,-97.1943701
77,North Hollywood,34.1649502,-118.3747521
78,McKinney,33.1976496,-96.6154471
79,San Jose,37.3361663,-121.890591
80,Bayside,40.7684351,-73.7770774
81,Cape Coral,26.6059432,-81.9806771
82,Huntington Beach,33.6783336,-118.0000166
83,Worcester,42.2625621,-71.8018877
84,Austin,30.2711286,-97.7436995
85,Nashville,36.1622767,-86.7742984
86,Chattanooga,35.0457219,-85.3094883
87,West Valley City,40.6967254,-111.986821
88,Orlando,28.5421109,-81.3790304
89,Indianapolis,39.7683331,-86.1583502
90,Poinciana,28.1743275,-81.49322346187505
91,Detroit,42.3315509,-83.0466403
92,Adel,41.6174123,-94.0185176
93,Jamaica,18.1850507,-77.3947693
94,Hollywood,34.0980031,-118.329523
95,El Paso,31.7550511,-106.4882345
96,ST PETERSBURG,27.7703796,-82.6695085
97,Saint Pete Beach,27.7253065,-82.741212
98,College Station,30.5955289,-96.3071042
99,Ocala,29.1871986,-82.1400923
100,Sacramento,38.5810606,-121.493895
101,Circleville,39.508328,-95.858599
102,Grand Prairie,32.7459645,-96.9977846
103,Clearwater,27.9658533,-82.8001026
104,Reno,39.5261206,-119.8126581
105,West Palm Beach,26.715364,-80.0532942
106,Bronx,40.8466508,-73.8785937
107,Hialeah,25.8575963,-80.2781057
108,Moultrie,39.6391442,-88.6087498
109,Athens,37.9839412,23.7283052
110,Lehigh Acres,26.6091509,-81.652407
111,Pineville,36.7620301,-83.6949176
112,Pottstown,40.2452976,-75.6496424
113,Kingsport,36.550238,-82.5594293
114,Staten Island,40.5834557,-74.1496048
115,Saint Petersburg,27.7703796,-82.6695085
116,Tallahassee,30.4380832,-84.2809332
117,Amarillo,35.2072185,-101.833824
118,Temple,31.098207,-97.3427847
119,Parkland,26.3100794,-80.23727
120,Broadview Heights,41.3139426,-81.6851271
121,Tacoma,47.2455013,-122.438329
122,Cincinnati,39.1014537,-84.5124602
123,Surprise,33.629247,-112.3681428
124,Shoreline,47.7564667,-122.3437497
125,Yonkers,40.9312099,-73.8987469
126,Pasadena,34.1476452,-118.1444779
127,Kingwood,39.4717557,-79.6833884
128,Sachse,32.9762327,-96.5952703
129,Helotes,29.5635688,-98.6884208
130,South Pasadena,34.1133062,-118.1478291
131,Oakland,37.8044557,-122.271356
132,Buffalo,42.8867166,-78.8783922
133,Bryan,30.6743643,-96.3699632
134,Peoria,40.6938609,-89.5891008
135,San Marino,43.9458623,12.458306
136,Sterling Heights,42.5803122,-83.0302033
137,Binghamton,42.098698,-75.9125187
138,Olmsted Falls,41.375049,-81.9081937
139,Irving,32.8295183,-96.9442177
140,West Hollywood,34.0923014,-118.3692894
141,Harker Heights,31.0746347,-97.6590473
142,Pensacola,30.421309,-87.2169149
143,Palmetto Bay,25.6217715,-80.3247748
144,Little Neck,40.7745338,-73.7412564
145,Kirkland,47.6765382,-122.2070775
146,Mercer Island,47.5602073,-122.22014226861951
147,Goodyear,33.4073522,-112.3934809
148,Riverside,33.9533546,-117.3961623
149,Litchfield Park,33.4933796,-112.358124
150,Bethesda,38.98127255,-77.12335871396549
151,Watersound,30.28815,-86.0452972
152,Round Rock,30.5085915,-97.6788056
153,Denver,39.7392364,-104.984862
154,MADEIRA BEACH,27.7980814,-82.7973247
155,Swanton,44.9181593,-73.1242364
156,Navasota,30.3874135,-96.0875066
157,LONGMONT,40.1672117,-105.1019287
158,Winston Salem,36.0998131,-80.2440518
159,Escondido,33.1216751,-117.0814849
160,Miramar,25.9873137,-80.2322706
161,Asheville,35.6009498,-82.5540161
162,Richmond,37.5385087,-77.43428
163,Pearland,29.5639758,-95.2864299
164,Clarksville,36.5277607,-87.3588703
165,Hixson,35.1414606,-85.1746774
